SMILES,Shifts,Atom#,Solvent
C1(=C(C(=C(C(=C1N([H])[H])[H])[H])F)[H])[H],['-130.72'],[['8']],CDCl3
C=1(C(=C(C(=C(C1[H])[H])[H])[H])[H])F,['-113.5'],[['7']],Unreported
C1(=C(C(=C(C(=C1[H])C(F)(F)F)[H])C(F)(F)F)[H])[H],['-64.0'],"[['9', '10', '11', '12', '13', '14']]",CDCl3
C1(=C(C(=C(C(=C1C(F)(F)F)[H])[H])C(F)(F)F)[H])[H],['-64.3'],"[['9', '10', '11', '12', '13', '14']]",CDCl3
C1(=C(C(=C(C(=C1[H])[H])[H])C(F)(F)F)C(F)(F)F)[H],['-60.1'],"[['9', '10', '11', '12', '13', '14']]",CDCl3
C1(=C(C(=C(C(=C1[H])C([H])([H])[H])[H])F)[H])[H],['-113.5'],[['8']],CDCl3
C(F)(F)(C(F)(F)F)[H],"['-142.8', '-86.2']","[['3', '4'], ['5', '6', '7']]",CDCl3
C(F)(F)(C(F)(F)F)[H],"['-139.03', '-87.39']","[['3', '4'], ['5', '6', '7']]",neat
C(F)(C#N)([H])[H],['-251.0'],[['4']],CDCl3
C(C(F)(F)F)(=C(Cl)Cl)[H],['-60.4'],"[['4', '5', '6']]",CDCl3
C(=C(C(F)(Cl)Cl)[H])(Cl)Cl,['-50.27'],[['4']],CDCl3
C(C=1C(=C(C(=C(C1[H])[H])[H])[H])[H])(=O)F,['17.5'],[['9']],CDCl3
FB(F)Cl,"['-30.3', '-30.3']","[['1', '3']]",
C(C(B(F)F)([H])[H])([H])([H])[H],"['-112.0', '-101.0']","[['5'], ['4']]",
C1(=C(C(=C(C2=C1C(=C(N2[H])[H])[H])[H])[H])F)[H],['-124.9'],[['10']],CDCl3
C(C([H])([H])[H])(C(F)(F)F)(O[H])[H],['-82.4'],"[['5', '6', '7']]",SO2
C(C(F)(F)F)(Cl)(Cl)[H],['-78.5'],"[['5', '6', '7']]",CDCl3
C(C(C(F)(F)F)(O[H])[H])(F)(F)F,['-75.1'],"[['5', '6', '7', '8', '9', '10']]",SO2
C=1(C(=C(C(=C(C1F)F)Br)F)F)[H],"['-137.0', '-133.0']","[['8', '11'], ['9', '10']]",CDCl3
C1(=C(C(=C(C(=C1C(C([H])([H])[H])(N([H])[H])[H])[H])[H])F)[H])[H],['-116.4'],[['10']],CDCl3
C1(=C(C(=C(C(=C1F)F)F)F)F)[H],"['-162.6', '-154.4', '-139.0']","[['8', '10'], ['9'], ['7', '11']]",CDCl3
C1(=C(C(=C(C(=C1F)F)F)F)F)[H],"['-162.0', '-159.5', '-138.6']","[['9'], ['8', '10'], ['7', '11']]",CDCl3
C(C(Cl)(Cl)F)(F)(F)Cl,"['-71.7', '-67.7']","[['8'], ['3', '4']]",Unreported
C(C(Cl)(Cl)F)(F)(F)Cl,"['-72.06', '-67.88']","[['8'], ['3', '4']]",CDCl3
C(C(C(=O)O[H])(F)F)(F)(F)F,"['-124.7', '-86.0']","[['6', '7'], ['8', '9', '10']]",Unreported
C(C(C(=O)O[H])(F)F)(F)(C(F)(F)F)F,"['-127.0', '-119.0', '-79.0']","[['6', '7'], ['8', '10'], ['11', '12', '13']]",Unreported
C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])F)[H])[H])[H])[H],['-114.51'],[['15']],n-hexane
C=1(SC(=C(C1[H])[H])[H])C(=O)C(C(=O)C(F)(F)F)([H])[H],['-77.1'],"[['12', '13', '14']]",acetonitril
C1(=C(C(=C(C(=C1[H])[H])C(F)(F)F)[H])[H])C(=O)C([H])([H])[H],['-64.05'],"[['11', '12', '13']]",Unreported
C(OC(=O)C(F)(F)F)(=O)C(F)(F)F,['-77.05'],"[['8', '9', '10', '11', '12', '13']]",Unreported
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"['-127.6', '-123.4', '-81.43']","[['6', '7', '15', '16'], ['9', '10', '12', '13'], ['1', '3', '4', '18', '19', '20']]",CDCl3
FC(=C(F)[H])F,"['-204.2', '-126.2', '-100.5']","[['5'], ['1'], ['3']]",THF
C1(=C(C(=C(C2=C1C(C(C2([H])[H])([H])[H])([H])[H])[H])F)[H])[H],['-115.5'],[['10']],CCl4
C(OC(F)(C(F)(F)[H])F)(F)(F)[H],"['-137.95', '-89.42', '-85.04']","[['6', '10'], ['5', '7'], ['8', '9']]",CDCl3
C(F)(F)(C(F)(F)OC(F)([H])[H])[H],"['-154.5', '-137.92', '-91.86']","[['5'], ['8', '9'], ['6', '7']]",CDCl3
C(F)(F)(C(F)(F)OC([H])([H])[H])[H],"['-136.9', '-93.5']","[['7', '8'], ['5', '6']]",CDCl3
C=1(C(=C(C(=C(C1F)F)C#N)F)F)F,"['-161.0', '-145.0', '-134.0']","[['10', '13'], ['9'], ['11', '12']]",CDCl3
C=1(C(=C(C(=C(C1F)F)F)F)F)O[H],"['-169.0', '-164.0']","[['10'], ['8', '9', '11', '12']]",CDCl3
C(OC(F)(C(F)(F)F)[H])(F)(F)F,"['-146.48', '-84.12', '-60.18']","[['8'], ['5', '6', '7'], ['9', '10', '11']]",CDCl3
FC(F)(C(F)(F)[H])C(O[H])=O,"['-137.65', '-124.61']","[['3', '4'], ['1', '2']]",CDCl3
FC(F)(F)C(O[H])(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])C(F)(F)F,['-82.4'],"[['1', '2', '3', '4', '5', '6']]",SO2
FC=1C(=C(C(=C(C1[H])[H])[H])C([H])([H])[H])C([H])([H])[H],['-122.25'],[['1']],CCl4
FC(F)(F)C(O[H])(C(F)(F)F)C([H])([H])[H],['-84.2'],"[['1', '2', '3', '4', '5', '6']]",SO2
ClC(Cl)(F)C([H])([H])[H],['-44.37'],[['3']],CDCl3
S(F)(=O)(=O)C(F)(F)C(OC([H])([H])[H])=O,"['-103.75', '40.82']","[['2', '3'], ['4']]",CDCl3
FC1=C(C(=C(F)C(=C1[H])[H])[H])[H],['-106.0'],"[['1', '2']]",Unreported
FC1=C(C(F)=C(F)N=C1F)[H],"['-141.0', '-93.0']","[['1', '2'], ['3', '4']]",CDCl3
ClC(Cl)(C(Cl)(F)F)[H],['-63.252'],"[['4', '5']]",CDCl3
C(Br)(Br)(C(F)(F)C(F)(F)F)F,"['-115.31', '-76.64', '-75.1']","[['7', '8'], ['9', '10', '11'], ['6']]",CDCl3
C=1(C(=C(C(=C(C1F)F)C([H])([H])[H])F)F)F,"['-166.0', '-161.0', '-146.0']","[['8', '11'], ['12'], ['9', '10']]",CDCl3
C(C(Cl)(Cl)[H])(C(F)(F)C(F)(F)F)([H])[H],"['-118.14', '-86.29']","[['9', '10'], ['7', '8', '11']]",CDCl3
C1(=C(C(=C(C(=C1[H])OC([H])([H])[H])F)[H])[H])OC([H])([H])[H],['-146.07'],[['11']],CDCl3
C(=C(C(C(C(C=1C(=C(C(=C(C1[H])[H])[H])[H])[H])([H])[H])([H])[H])([B-](F)(F)F)[H])[H])([H])[H].[K+],['-144.6'],"[['13', '14', '15']]",CD3CN
C1(C(C(C1(F)[H])([H])[H])([H])[H])([H])[H],['-160.0'],[['5']],CDCl3
C(C(Cl)(F)F)(Cl)(F)F,['-71.1461'],"[['5', '6', '7', '8']]",CDCl3
C(=C([H])F)(F)OC(F)(F)F,"['-180.0', '-105.2', '-63.2']","[['5'], ['10'], ['7', '8', '9']]",CDCl3
C(=C(F)Cl)(F)OC(F)(F)F,"['-129.7', '-122.6', '-62.8']","[['6'], ['5'], ['8', '9', '10']]",CDCl3
C(=C(Cl)F)(F)OC(F)(F)F,"['-123.3', '-106.9', '-62.5']","[['7'], ['5'], ['8', '9', '10']]",CDCl3
C(=C(F)F)(Cl)OC(F)(F)F,"['-104.1', '-95.1', '-63.4']","[['7'], ['6'], ['8', '9', '10']]",CDCl3
C(F)(=C(OC(F)(F)C(F)(F)F)F)F,"['-139.5', '-126.4', '-119.2', '-93.7', '-89.8']","[['13'], ['11'], ['12'], ['9', '10'], ['6', '7', '8']]",CDCl3
C(=C(F)[H])(F)OC(F)(F)F,"['-187.9', '-131.5', '-61.9']","[['6'], ['5'], ['8', '9', '10']]",CDCl3
C(=C(F)F)(OC(F)(F)F)OC(F)(F)F,"['-127.5', '-62.8']","[['7', '8'], ['9', '10', '11', '12', '13', '14']]",CDCl3
C(OC(=C(OC(F)(F)F)F)F)(F)(F)F,"['-108.0', '-62.5']","[['10', '11'], ['7', '8', '9', '12', '13', '14']]",CDCl3
C(#CF)[H],['-273.0'],[['3']],CDCl3
P(F)(F)(F)(F)F,['-71.0'],"[['2', '3', '4', '5', '6']]",Unreported
C(Cl)(Cl)(F)Cl,['0.0'],[['4']],Unreported
C(F)([H])(F)F,['-78.6'],"[['2', '3', '4']]",CFCl3
C(F)([H])(F)F,['-78.6'],"[['2', '3', '4']]",EtO
C(F)([H])(F)F,['-84.0'],"[['2', '3', '4']]",neat
C(=C([H])[H])(F)F,['-81.3'],"[['3', '4']]",Unreported
C(=C(F)F)(F)F,['-135.0'],"[['3', '4', '5', '6']]",Unreported
C(C(=O)OC=1C(=C(C(=C(C1[H])[H])[H])[H])[H])(F)(F)F,['-73.85'],"[['9', '10', '11']]",Unreported
C(C(=O)OC(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])([H])[H])(F)(F)F,['-75.02'],"[['10', '11', '12']]",Unreported
C=1(C(=C(C(=C(C1F)F)F)F)F)F,['-162.3'],"[['7', '8', '9', '10', '11', '12']]",Unreported
C=1(C(=C(C(=C(C1F)F)F)F)F)F,['-164.9'],"[['7', '8', '9', '10', '11', '12']]",CDCl3
FF,['420.0'],"[['1', '2']]",CDCl3
FF,['422.92'],"[['1', '2']]",Unreported
C(F)(Cl)(F)F,['-28.6'],"[['2', '4', '5']]",Unreported
C(F)(Cl)(F)F,['-27.96'],"[['2', '4', '5']]",CDCl3
C(F)(Cl)(F)F,['-32.6'],"[['2', '4', '5']]",neat
C(F)(Cl)(Cl)F,['-8.0'],"[['2', '5']]",Unreported
C(F)(Cl)(Cl)F,['-8.4'],"[['2', '5']]",neat
C(F)(Cl)(Cl)F,['-6.77'],"[['2', '5']]",CDCl3
C(C(F)(Cl)Cl)(F)(Cl)Cl,['-67.8'],"[['3', '4']]",Unreported
C(Br)(Br)(F)Br,['7.38'],[['4']],Unreported
C(F)(Br)(F)Br,['7.0'],"[['2', '4']]",Unreported
C(F)(Br)(F)Br,['6.28'],"[['2', '4']]",CDCl3
I(F)(F)(F)(F)(F)(F)F,['170.0'],"[['2', '3', '4', '5', '6', '7', '8']]",Unreported
[As](F)(F)F,['-40.6'],"[['2', '3', '4']]",Unreported
[As](F)(F)(F)(F)F,['-66.0'],"[['2', '3', '4', '5', '6']]",Unreported
[As-](F)(F)(F)(F)(F)F,['-69.5'],"[['2', '3', '4', '5', '6', '7']]",Unreported
B(F)(F)F,"['-80.2', '-77.2', '-77.2']","[['4'], ['3', '2']]",
B(F)(F)F,['-131.3'],"[['2', '3', '4']]",Unreported
C(F)(F)(F)F,['-62.3'],"[['2', '3', '4', '5']]",Unreported
C(F)(F)(F)F,['-69.0'],"[['2', '3', '4', '5']]",neat
[Si](F)(F)(F)F,['-163.3'],"[['2', '3', '4', '5']]",Unreported
C(N(C(F)(F)F)C(F)(F)F)(F)(F)F,['-55.969'],"[['5', '6', '7', '8', '9', '10', '11', '12', '13']]",Unreported
C(N(C(F)(F)F)C(F)(F)F)(F)(F)F,['-59.0'],"[['5', '6', '7', '8', '9', '10', '11', '12', '13']]",neat
C=1(C(=C(C(=C(C1C(F)(F)F)[H])[H])[H])[H])[H],['-63.732'],"[['8', '9', '10']]",Unreported
C=1(C(=C(C(=C(C1C(F)(F)F)[H])[H])[H])[H])[H],['-62.8'],"[['8', '9', '10']]",CDCl3
C(F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F,"['-189.4', '-75.1']","[['5'], ['6', '7', '8', '9', '10', '11', '12', '13', '14']]",CCl4
FB(F)[H],"['-77.0', '-77.0']","[['1', '2']]",
C(C(C(C(F)(F)[H])([H])[H])(F)F)(F)(F)F,"['-116.72', '-114.79', '-86.48']","[['7', '8'], ['5', '6'], ['9', '10', '11']]",CDCl3
C1(=C(C(=C(C(=C1[Si](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])F)F)F)F)[H],"['-156.32', '-154.92', '-139.41', '-127.84', '-2.72', '5.89', '121.9', '140.1', '150.0']","[['11'], ['14'], ['13'], ['12'], [' -2.72\\'], [' 5.89\\'], [' 121.9\\'], [' 140.1\\'], [' 150.0\\']]",CDCl3
B(F)([Si](F)(F)F)[Si](F)(F)F,"['-151.0', '-150.0', '-145.0', '-145.0', '-143.0', '-143.0', '76.0']","[['5'], ['10'], ['6', '9'], ['7', '8'], ['2']]",
B(B(F)F[H])(F)F.[H][H],"['-60.3', '-60.3', '-60.2', '-60.2']","[['3', '5'], ['4', '6']]",
C=1(C(=C(C(=C(C1[H])[H])N([H])[H])[H])[H])OC(C(F)(F)F)([H])[H],['-72.7'],"[['11', '12', '13']]","DMSO-D6, C2D6SO"
C(C(F)(F)F)(C(C(F)(C(F)(F)F)C(F)(F)F)(F)F)(OC(F)(F)F)F,"['-184.9', '-138.4', '-113.518', '-77.69', '-72.555', '-54.74']","[['16'], ['7'], ['14', '15'], ['11', '12', '13'], ['19', '20', '21', '22', '23', '24'], ['8', '9', '10']]",neat
[Si](O[Si](F)(F)F)(F)(F)F,['-163.6'],"[['4', '5', '6', '7', '8', '9']]",CDCl3
C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)(F)F,"['-92.7', '-57.8']","[['10', '11', '12', '13'], ['7', '8', '9', '14', '15', '16']]",CDCl3
FC(F)(F)OC(F)(OC(F)(F)F)C(F)(F)F,"['-102.6', '-88.3', '-57.1']","[['9'], ['14', '15', '16'], ['1', '7', '8', '10', '11', '12']]",CDCl3
C1(C(C(C1(F)OC(F)(F)F)(F)F)(F)F)(F)F,"['-141.8', '-133.7', '-131.4', '-130.8', '-56.9']","[['5'], ['8', '9'], ['10', '11'], ['6', '7'], ['14', '15', '16']]",CDCl3
C(=C(F)C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)F,"['-189.0', '-142.0', '-139.2', '-77.9', '-67.1']","[['10'], ['8'], ['7'], ['13', '14', '15', '16', '17', '18'], ['4', '5', '6']]",CDCl3
C(=C(F)C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)F,"['-189.8', '-160.9', '-158.2', '-78.1', '-71.8']","[['12'], ['4'], ['8'], ['13', '14', '15', '16', '17', '18'], ['5', '6', '7']]",CDCl3
C(C(F)(F)F)(C(F)(F)F)=C(F)C(F)(F)C(F)(F)F,"['-116.5', '-97.6', '-83.3', '-60.2', '-57.5']","[['13', '14'], ['11'], ['16', '17', '18'], ['4', '5', '6'], ['7', '8', '9']]",CDCl3
C(=C(C(C(F)(F)F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,"['-158.9', '-92.0', '-73.6', '-70.8', '-58.6', '-56.4']","[['19'], ['12', '17'], ['14', '15', '16'], ['22', '23', '24', '25', '26', '27'], ['4', '5', '6'], ['8', '9', '10']]",CDCl3
C(=C(C(F)(C(F)(F)F)C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)F)(C(F)(F)F)F,"['-170.8', '-167.7', '-78.9', '-72.6', '-72.5', '-72.4', '-63.1']","[['19'], ['12'], ['4'], ['13', '14', '15'], ['16', '17', '18'], ['22', '23', '24', '25', '26', '27'], ['5', '6', '7']]",CDCl3
C(=C(C(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F)(C(F)(C(F)(F)F)C(F)(F)F)F,"['-181.1', '-124.7', '-106.2', '-87.6', '-80.7', '-73.4', '-54.15']","[['19'], ['11', '12'], ['9', '10'], ['4'], ['13', '14', '15'], ['22', '23', '24', '25', '26', '27'], ['16', '17', '18']]",CDCl3
C(C(F)(C(F)(F)F)C(F)(F)F)(F)=C(C(F)(F)F)C(C(F)(F)C(F)(F)F)(F)F,"['-180.2', '-121.8', '-100.8', '-84.4', '-80.6', '-73.5', '-52.38']","[['10'], ['16', '17'], ['14', '15'], ['4'], ['19', '20', '21'], ['22', '23', '24', '25', '26', '27'], ['7', '8', '9']]",CDCl3
C(C(F)(F)F)(F)(F)[N+](=O)[O-],"['-102.4', '-81.9']","[['7', '8'], ['3', '4', '5']]",CDCl3
FC(C(C(C(F)(F)Cl)(F)Cl)(F)Cl)(F)Cl,"['-121.9', '-62.3']","[['8', '9'], ['1', '6', '7', '10']]",CDCl3
C(C(F)(F)OC(F)(F)OC(C(F)(F)Cl)(F)Cl)(F)(F)F,"['-90.5', '-87.6', '-77.4', '-71.1', '-51.6']","[['11', '12'], ['8', '9', '10'], ['15'], ['16', '17'], ['13', '14']]",CDCl3
C(F)(F)(F)OC(C(F)(F)OC(F)(F)OC(C(F)(F)Cl)(F)Cl)(F)F,"['-90.8', '-90.25', '-77.2', '-70.9', '-56.0', '-51.35']","[['15', '16'], ['13', '14'], ['19'], ['20', '21'], ['10', '11', '12'], ['17', '18']]",CDCl3
C(F)(F)(F)OC(F)(C(F)(F)F)OC(F)(F)OC(C(F)(F)Cl)(F)Cl,"['-100.1', '-86.2', '-77.2', '-70.8', '-55.0', '-51.4']","[['13'], ['15', '16', '17'], ['20'], ['9', '21'], ['10', '11', '12'], ['18', '19']]",CDCl3
C(C(F)(F)OC(F)(F)OC(=C(F)F)F)(F)(F)F,"['-138.0', '-123.2', '-116.5', '-90.7', '-87.9', '-57.0']","[['15'], ['17'], ['16'], ['11', '12'], ['8', '9', '10'], ['13', '14']]",CDCl3
C(F)(F)(F)OC(C(F)(F)OC(F)(F)OC(=C(F)F)F)(F)F,"['-138.0', '-123.2', '-116.5', '-91.2', '-90.8', '-57.1', '-56.5']","[['19'], ['21'], ['20'], ['13', '14'], ['15', '16'], ['17', '18'], ['10', '11', '12']]",CDCl3
C(F)(F)(F)OC(F)(C(F)(F)F)OC(F)(F)OC(=C(F)F)F,"['-138.0', '-123.2', '-116.5', '-100.3', '-86.7', '-57.1', '-55.6']","[['20'], ['21'], ['9'], ['13'], ['15', '16', '17'], ['18', '19'], ['10', '11', '12']]",CDCl3
C1(OC(C(O1)(F)F)(C(F)(F)F)F)(F)F,"['-128.6', '-86.5', '-81.7', '-81.1', '-58.3', '-54.5']","[['10'], ['14'], ['13'], ['7', '8', '9'], ['12'], ['11']]",CDCl3
C1(OC(C(F)(F)F)(F)F)(F)C(F)(F)OC(O1)(F)F,"['-89.3', '-88.9', '-87.9', '-87.1', '-85.5', '-83.4', '-57.4', '-56.2']","[['8'], ['13'], ['9'], ['5', '6', '7'], ['10'], ['12'], ['18'], ['17']]",CDCl3
C1(OC(C(O1)(F)F)(C(F)(F)F)[H])(F)F,"['-84.3', '-76.6', '-67.0', '-56.0']","[['14'], ['7', '8', '9'], ['13'], ['11', '12']]",CDCl3
O(C(F)(F)F)C(=O)F,"['-60.5', '-13.5']","[['3', '4', '5'], ['8']]",CDCl3
C1(F)(F)OC(C(O1)(C(F)(F)F)F)(C(F)(F)F)F,"['-127.1', '-80.3', '-60.6', '-52.1']","[['10', '17'], ['7', '8', '9', '14', '15', '16'], ['12'], ['11']]",CDCl3
C1(F)(F)OC(C(O1)(C(F)(F)F)F)(C(F)(F)F)F,"['-128.3', '-80.3', '-55.5']","[['10', '17'], ['7', '8', '9', '14', '15', '16'], ['11', '12']]",CDCl3
C1(OC(C(O1)(F)Cl)(F)Cl)(F)F,"['-69.9', '-58.0', '-54.1']","[['6', '9'], ['11'], ['10']]",CDCl3
C1(OC(C(O1)(F)Cl)(F)Cl)(F)F,"['-57.8', '-55.5']","[['6', '9'], ['10', '11']]",CDCl3
C1(OC(C(O1)(F)Br)(F)Br)(F)F,"['-66.4', '-59.5', '-54.2']","[['6', '9'], ['11'], ['10']]",CDCl3
C1(OC(C(O1)(F)Br)(F)Br)(F)F,"['-56.0', '-50.3']","[['10', '11'], ['6', '9']]",CDCl3
C1(OC(C(O1)(Cl)Cl)(Cl)Cl)(F)F,['-56.5'],"[['8', '9']]",CDCl3
C1(OC(C(O1)(Cl)[H])(Cl)Cl)(F)F,"['-57.7', '-53.5']","[['9'], ['8']]",CDCl3
C1(OC(C(O1)(Cl)[H])(Cl)[H])(F)F,"['-58.8', '-55.3']","[['11'], ['10']]",CDCl3
C1(OC(C(O1)([H])Cl)([H])Cl)(F)F,['-55.5'],"[['10', '11']]",CDCl3
C1=2C(C(C(=C(C1=O)[H])C(C(F)(F)F)(F)F)=O)=C(C(=C(C2[H])[H])[H])[H],"['-115.5', '-82.5']","[['12', '13'], ['14', '15', '16']]",CDCl3
C1(=C(C(=C(C2=C1C(C(=C(C2=O)[H])C(C(F)(F)F)(F)C(F)(F)F)=O)[H])[H])[H])[H],"['-177.2', '-74.1']","[['16'], ['18', '19', '20', '21', '22', '23']]",CDCl3
C1(=C(C(=C(C2=C1C(C(=C(C2=O)[H])C(F)(C(F)(F)C(F)(F)F)F)=O)[H])[H])[H])[H],"['-125.4', '-112.7', '-81.2']","[['19', '20'], ['15', '16'], ['21', '22', '23']]",CDCl3
C1(F)(F)OC(C(O1)(F)F)(F)F,"['-88.0', '-57.7']","[['8', '9', '10', '11'], ['6', '7']]",CDCl3
C1(F)(F)OC(C(O1)(F)F)(F)Br,"['-91.0', '-72.1', '-63.7', '-58.2', '-55.3']","[['11'], ['10'], ['9'], ['7'], ['6']]",CDCl3
